scenario,phy,trial,samples_collected,rssi_available,log_json,log_csv,notes
0ft,auto,1,20,True,logs/ble/20251220_044414_ble_rssi.json,logs/ble/20251220_044414_ble_rssi.csv,LinuxA+MockRing
6ft,auto,1,20,True,logs/ble/20251220_045330_ble_rssi.json,logs/ble/20251220_045330_ble_rssi.csv,LinuxA+MockRing
