scenario,phy,trial,mode,avg_latency_s,min_latency_s,max_latency_s,samples,timeouts,log_json,log_csv,notes
0ft,auto,1,start,0.08726962099899538,0.06653262200052268,0.12441415599823813,5,0,logs/ble/20251220_044358_ble_latency.json,logs/ble/20251220_044358_ble_latency.csv,LinuxA+MockRing
6ft,auto,1,start,0.06938944659923436,0.06613328000094043,0.07918439599961857,5,0,logs/ble/20251220_045311_ble_latency.json,logs/ble/20251220_045311_ble_latency.csv,LinuxA+MockRing
