index,timestamp,rssi_dbm
1,2025-12-19T08:32:19.829917+00:00,
2,2025-12-19T08:32:20.831545+00:00,
3,2025-12-19T08:32:21.832615+00:00,
4,2025-12-19T08:32:22.833989+00:00,
5,2025-12-19T08:32:23.834366+00:00,
6,2025-12-19T08:32:24.835716+00:00,
7,2025-12-19T08:32:25.837068+00:00,
8,2025-12-19T08:32:26.838460+00:00,
9,2025-12-19T08:32:27.839775+00:00,
10,2025-12-19T08:32:28.841134+00:00,
11,2025-12-19T08:32:29.842715+00:00,
12,2025-12-19T08:32:30.843961+00:00,
13,2025-12-19T08:32:31.845355+00:00,
14,2025-12-19T08:32:32.846760+00:00,
15,2025-12-19T08:32:33.848770+00:00,
16,2025-12-19T08:32:34.850135+00:00,
17,2025-12-19T08:32:35.851557+00:00,
18,2025-12-19T08:32:36.852926+00:00,
19,2025-12-19T08:32:37.853361+00:00,
20,2025-12-19T08:32:38.854739+00:00,
