seq,dut_ts,arrival_time,payload_len,raw_len,arrival_epoch
0,9668,2025-12-19T21:34:31.110437+00:00,56,60,1766180071.110411
1,9694,2025-12-19T21:34:31.155357+00:00,56,60,1766180071.155333
2,9720,2025-12-19T21:34:31.200425+00:00,56,60,1766180071.200404
3,9745,2025-12-19T21:34:31.200523+00:00,56,60,1766180071.200516
4,9771,2025-12-19T21:34:31.246422+00:00,56,60,1766180071.246402
5,9797,2025-12-19T21:34:31.246506+00:00,56,60,1766180071.246499
6,9822,2025-12-19T21:34:31.291424+00:00,56,60,1766180071.291404
7,9848,2025-12-19T21:34:31.291502+00:00,56,60,1766180071.291495
8,9874,2025-12-19T21:34:31.335345+00:00,56,60,1766180071.335327
9,9899,2025-12-19T21:34:31.425538+00:00,56,60,1766180071.425518
10,9925,2025-12-19T21:34:31.425617+00:00,56,60,1766180071.425611
11,9950,2025-12-19T21:34:31.471421+00:00,56,60,1766180071.471399
12,9976,2025-12-19T21:34:31.515455+00:00,56,60,1766180071.515436
13,10002,2025-12-19T21:34:31.515533+00:00,56,60,1766180071.515527
14,10028,2025-12-19T21:34:31.560431+00:00,56,60,1766180071.560411
15,10054,2025-12-19T21:34:31.560510+00:00,56,60,1766180071.560504
16,10080,2025-12-19T21:34:31.605409+00:00,56,60,1766180071.605389
17,10105,2025-12-19T21:34:31.605488+00:00,56,60,1766180071.605481
18,10131,2025-12-19T21:34:31.650404+00:00,56,60,1766180071.650384
19,10156,2025-12-19T21:34:31.650482+00:00,56,60,1766180071.650476
20,10182,2025-12-19T21:34:31.696488+00:00,56,60,1766180071.696469
21,10208,2025-12-19T21:34:31.696565+00:00,56,60,1766180071.696558
22,10234,2025-12-19T21:34:31.698606+00:00,56,60,1766180071.698585
23,10260,2025-12-19T21:34:31.740416+00:00,56,60,1766180071.740396
24,10285,2025-12-19T21:34:31.740493+00:00,56,60,1766180071.740486
25,10311,2025-12-19T21:34:31.830557+00:00,56,60,1766180071.830538
26,10337,2025-12-19T21:34:31.920273+00:00,56,60,1766180071.920253
27,10362,2025-12-19T21:34:31.920349+00:00,56,60,1766180071.920341
28,10388,2025-12-19T21:34:31.922413+00:00,56,60,1766180071.922393
29,10414,2025-12-19T21:34:31.965463+00:00,56,60,1766180071.965443
30,10439,2025-12-19T21:34:31.965540+00:00,56,60,1766180071.965533
31,10465,2025-12-19T21:34:32.010485+00:00,56,60,1766180072.010465
32,10491,2025-12-19T21:34:32.010566+00:00,56,60,1766180072.010558
33,10516,2025-12-19T21:34:32.055409+00:00,56,60,1766180072.055389
34,10542,2025-12-19T21:34:32.055487+00:00,56,60,1766180072.055480
35,10568,2025-12-19T21:34:32.100484+00:00,56,60,1766180072.100464
36,10594,2025-12-19T21:34:32.100562+00:00,56,60,1766180072.100555
37,10619,2025-12-19T21:34:32.190492+00:00,56,60,1766180072.190471
38,10645,2025-12-19T21:34:32.190571+00:00,56,60,1766180072.190564
39,10671,2025-12-19T21:34:32.192372+00:00,56,60,1766180072.192353
40,10696,2025-12-19T21:34:32.235419+00:00,56,60,1766180072.235386
41,10722,2025-12-19T21:34:32.235496+00:00,56,60,1766180072.235489
42,10747,2025-12-19T21:34:32.280350+00:00,56,60,1766180072.280331
43,10773,2025-12-19T21:34:32.280426+00:00,56,60,1766180072.280419
44,10798,2025-12-19T21:34:32.325545+00:00,56,60,1766180072.325525
45,10824,2025-12-19T21:34:32.370564+00:00,56,60,1766180072.370544
46,10850,2025-12-19T21:34:32.415472+00:00,56,60,1766180072.415452
47,10875,2025-12-19T21:34:32.415547+00:00,56,60,1766180072.415541
48,10901,2025-12-19T21:34:32.460421+00:00,56,60,1766180072.460402
49,10927,2025-12-19T21:34:32.460502+00:00,56,60,1766180072.460494
50,10953,2025-12-19T21:34:32.505489+00:00,56,60,1766180072.505469
51,10979,2025-12-19T21:34:32.505568+00:00,56,60,1766180072.505561
52,11005,2025-12-19T21:34:32.550429+00:00,56,60,1766180072.550408
53,11030,2025-12-19T21:34:32.550508+00:00,56,60,1766180072.550500
54,11056,2025-12-19T21:34:32.595510+00:00,56,60,1766180072.595489
55,11082,2025-12-19T21:34:32.595591+00:00,56,60,1766180072.595585
56,11107,2025-12-19T21:34:32.640495+00:00,56,60,1766180072.640475
57,11133,2025-12-19T21:34:32.640574+00:00,56,60,1766180072.640566
58,11159,2025-12-19T21:34:32.685405+00:00,56,60,1766180072.685386
59,11185,2025-12-19T21:34:32.685479+00:00,56,60,1766180072.685472
60,11210,2025-12-19T21:34:32.730486+00:00,56,60,1766180072.730467
61,11236,2025-12-19T21:34:32.730565+00:00,56,60,1766180072.730558
62,11262,2025-12-19T21:34:32.775573+00:00,56,60,1766180072.775553
63,11287,2025-12-19T21:34:32.820555+00:00,56,60,1766180072.820535
64,11313,2025-12-19T21:34:32.820631+00:00,56,60,1766180072.820625
65,11339,2025-12-19T21:34:32.822463+00:00,56,60,1766180072.822443
66,11364,2025-12-19T21:34:32.865454+00:00,56,60,1766180072.865434
67,11390,2025-12-19T21:34:32.865531+00:00,56,60,1766180072.865524
68,11416,2025-12-19T21:34:32.927915+00:00,56,60,1766180072.927893
69,11441,2025-12-19T21:34:32.927993+00:00,56,60,1766180072.927987
70,11467,2025-12-19T21:34:32.928070+00:00,56,60,1766180072.928064
71,11493,2025-12-19T21:34:33.000493+00:00,56,60,1766180073.000473
72,11519,2025-12-19T21:34:33.000574+00:00,56,60,1766180073.000567
73,11544,2025-12-19T21:34:33.002535+00:00,56,60,1766180073.002516
74,11570,2025-12-19T21:34:33.045400+00:00,56,60,1766180073.045382
75,11596,2025-12-19T21:34:33.045476+00:00,56,60,1766180073.045470
76,11621,2025-12-19T21:34:33.090450+00:00,56,60,1766180073.090430
77,11647,2025-12-19T21:34:33.090530+00:00,56,60,1766180073.090523
