seq,dut_ts,arrival_time,payload_len,raw_len,arrival_epoch
0,55825,2025-12-19T22:04:46.496615+00:00,56,60,1766181886.496583
1,55851,2025-12-19T22:04:46.541542+00:00,56,60,1766181886.541516
2,55877,2025-12-19T22:04:46.676477+00:00,56,60,1766181886.676456
3,55902,2025-12-19T22:04:46.721337+00:00,56,60,1766181886.721319
4,55928,2025-12-19T22:04:46.721417+00:00,56,60,1766181886.721408
5,55954,2025-12-19T22:04:46.766424+00:00,56,60,1766181886.766400
6,55980,2025-12-19T22:04:46.766511+00:00,56,60,1766181886.766503
7,56005,2025-12-19T22:04:46.811495+00:00,56,60,1766181886.811470
8,56031,2025-12-19T22:04:46.811584+00:00,56,60,1766181886.811577
9,56057,2025-12-19T22:04:46.901493+00:00,56,60,1766181886.901463
10,56083,2025-12-19T22:04:46.991406+00:00,56,60,1766181886.991380
11,56108,2025-12-19T22:04:47.036594+00:00,56,60,1766181887.036569
12,56134,2025-12-19T22:04:47.081544+00:00,56,60,1766181887.081524
13,56160,2025-12-19T22:04:47.171551+00:00,56,60,1766181887.171530
14,56185,2025-12-19T22:04:47.171646+00:00,56,60,1766181887.171626
15,56211,2025-12-19T22:04:47.173486+00:00,56,60,1766181887.173467
16,56237,2025-12-19T22:04:47.216498+00:00,56,60,1766181887.216479
17,56262,2025-12-19T22:04:47.216575+00:00,56,60,1766181887.216570
18,56288,2025-12-19T22:04:47.261431+00:00,56,60,1766181887.261409
19,56314,2025-12-19T22:04:47.261517+00:00,56,60,1766181887.261510
20,56339,2025-12-19T22:04:47.306509+00:00,56,60,1766181887.306483
21,56365,2025-12-19T22:04:47.306606+00:00,56,60,1766181887.306598
22,56391,2025-12-19T22:04:47.396420+00:00,56,60,1766181887.396388
23,56417,2025-12-19T22:04:47.441421+00:00,56,60,1766181887.441397
24,56442,2025-12-19T22:04:47.441527+00:00,56,60,1766181887.441516
25,56468,2025-12-19T22:04:47.443310+00:00,56,60,1766181887.443292
26,56494,2025-12-19T22:04:47.486538+00:00,56,60,1766181887.486512
27,56520,2025-12-19T22:04:47.531305+00:00,56,60,1766181887.531285
28,56545,2025-12-19T22:04:47.531404+00:00,56,60,1766181887.531394
29,56571,2025-12-19T22:04:47.621519+00:00,56,60,1766181887.621496
30,56597,2025-12-19T22:04:47.666346+00:00,56,60,1766181887.666327
31,56622,2025-12-19T22:04:47.666419+00:00,56,60,1766181887.666413
32,56648,2025-12-19T22:04:47.669310+00:00,56,60,1766181887.669293
33,56674,2025-12-19T22:04:47.711421+00:00,56,60,1766181887.711396
34,56699,2025-12-19T22:04:47.756421+00:00,56,60,1766181887.756397
35,56725,2025-12-19T22:04:47.756524+00:00,56,60,1766181887.756513
36,56751,2025-12-19T22:04:47.758415+00:00,56,60,1766181887.758393
37,56776,2025-12-19T22:04:47.801446+00:00,56,60,1766181887.801422
38,56802,2025-12-19T22:04:47.891464+00:00,56,60,1766181887.891416
39,56828,2025-12-19T22:04:47.891569+00:00,56,60,1766181887.891557
40,56853,2025-12-19T22:04:47.893323+00:00,56,60,1766181887.893301
41,56879,2025-12-19T22:04:47.981464+00:00,56,60,1766181887.981443
42,56904,2025-12-19T22:04:47.981545+00:00,56,60,1766181887.981539
43,56930,2025-12-19T22:04:47.983357+00:00,56,60,1766181887.983334
44,56956,2025-12-19T22:04:48.027485+00:00,56,60,1766181888.027467
45,56982,2025-12-19T22:04:48.029323+00:00,56,60,1766181888.029304
46,57008,2025-12-19T22:04:48.029394+00:00,56,60,1766181888.029387
