seq,dut_ts,arrival_time,payload_len,raw_len,arrival_epoch
0,57667,2025-12-19T21:58:15.086520+00:00,116,120,1766181495.086494
1,57693,2025-12-19T21:58:15.131582+00:00,116,120,1766181495.131556
2,57719,2025-12-19T21:58:15.223484+00:00,116,120,1766181495.223463
3,57744,2025-12-19T21:58:15.266540+00:00,116,120,1766181495.266519
4,57770,2025-12-19T21:58:15.268409+00:00,116,120,1766181495.268390
5,57796,2025-12-19T21:58:15.311487+00:00,116,120,1766181495.311467
6,57821,2025-12-19T21:58:15.356512+00:00,116,120,1766181495.356492
7,57847,2025-12-19T21:58:15.356591+00:00,116,120,1766181495.356584
8,57873,2025-12-19T21:58:15.359375+00:00,116,120,1766181495.359357
9,57899,2025-12-19T21:58:15.361400+00:00,116,120,1766181495.361379
10,57925,2025-12-19T21:58:15.361472+00:00,116,120,1766181495.361467
11,57950,2025-12-19T21:58:15.446391+00:00,116,120,1766181495.446372
12,57976,2025-12-19T21:58:15.448491+00:00,116,120,1766181495.448403
13,58002,2025-12-19T21:58:15.448627+00:00,116,120,1766181495.448618
14,58028,2025-12-19T21:58:15.451396+00:00,116,120,1766181495.451377
15,58054,2025-12-19T21:58:15.491527+00:00,116,120,1766181495.491507
16,58079,2025-12-19T21:58:15.536533+00:00,116,120,1766181495.536514
17,58105,2025-12-19T21:58:15.538443+00:00,116,120,1766181495.538424
18,58131,2025-12-19T21:58:15.581551+00:00,116,120,1766181495.581532
19,58156,2025-12-19T21:58:15.583377+00:00,116,120,1766181495.583358
20,58182,2025-12-19T21:58:15.626540+00:00,116,120,1766181495.626520
21,58208,2025-12-19T21:58:15.628454+00:00,116,120,1766181495.628435
22,58234,2025-12-19T21:58:15.716518+00:00,116,120,1766181495.716499
23,58260,2025-12-19T21:58:15.716659+00:00,116,120,1766181495.716647
24,58285,2025-12-19T21:58:15.718464+00:00,116,120,1766181495.718445
25,58311,2025-12-19T21:58:15.761445+00:00,116,120,1766181495.761426
