index,timestamp,rssi_dbm
1,2025-12-19T21:39:55.423713+00:00,-56
2,2025-12-19T21:39:56.503750+00:00,-58
3,2025-12-19T21:39:57.583739+00:00,-55
4,2025-12-19T21:39:58.664105+00:00,-52
5,2025-12-19T21:39:59.833760+00:00,-60
6,2025-12-19T21:40:00.913510+00:00,-54
7,2025-12-19T21:40:01.993596+00:00,-58
8,2025-12-19T21:40:03.073635+00:00,-53
9,2025-12-19T21:40:04.153638+00:00,-59
10,2025-12-19T21:40:05.233592+00:00,-55
11,2025-12-19T21:40:06.359036+00:00,-55
12,2025-12-19T21:40:07.438797+00:00,-55
13,2025-12-19T21:40:08.563737+00:00,-52
14,2025-12-19T21:40:09.643725+00:00,-54
15,2025-12-19T21:40:10.723646+00:00,-51
16,2025-12-19T21:40:11.803701+00:00,-57
17,2025-12-19T21:40:12.883691+00:00,-52
18,2025-12-19T21:40:13.963479+00:00,-58
19,2025-12-19T21:40:15.043530+00:00,-57
20,2025-12-19T21:40:16.123768+00:00,-57
