iteration,mode,start_time,notification_time,latency_s,seq,dut_ts
1,start,2025-12-19T21:39:41.440564+00:00,2025-12-19T21:39:41.519393+00:00,0.078803,0,58094
2,start,2025-12-19T21:39:42.622613+00:00,2025-12-19T21:39:42.689595+00:00,0.066947,0,59267
3,start,2025-12-19T21:39:43.793458+00:00,2025-12-19T21:39:43.904552+00:00,0.111068,0,60438
4,start,2025-12-19T21:39:45.008300+00:00,2025-12-19T21:39:45.075390+00:00,0.067058,0,61656
5,start,2025-12-19T21:39:46.179541+00:00,2025-12-19T21:39:46.247568+00:00,0.067999,0,62828
