seq,dut_ts,arrival_time,payload_len,raw_len,arrival_epoch
0,34505,2025-12-19T21:41:28.932511+00:00,16,20,1766180488.932482
1,34531,2025-12-19T21:41:28.977585+00:00,16,20,1766180488.977561
2,34556,2025-12-19T21:41:29.022385+00:00,16,20,1766180489.022361
3,34582,2025-12-19T21:41:29.022488+00:00,16,20,1766180489.022481
4,34607,2025-12-19T21:41:29.112530+00:00,16,20,1766180489.112507
5,34633,2025-12-19T21:41:29.112629+00:00,16,20,1766180489.112617
6,34658,2025-12-19T21:41:29.112674+00:00,16,20,1766180489.112669
7,34683,2025-12-19T21:41:29.157444+00:00,16,20,1766180489.157417
8,34709,2025-12-19T21:41:29.157527+00:00,16,20,1766180489.157521
9,34734,2025-12-19T21:41:29.202440+00:00,16,20,1766180489.202416
10,34760,2025-12-19T21:41:29.202533+00:00,16,20,1766180489.202525
11,34785,2025-12-19T21:41:29.247445+00:00,16,20,1766180489.247420
12,34811,2025-12-19T21:41:29.247536+00:00,16,20,1766180489.247527
13,34836,2025-12-19T21:41:29.292448+00:00,16,20,1766180489.292425
14,34862,2025-12-19T21:41:29.292528+00:00,16,20,1766180489.292522
15,34887,2025-12-19T21:41:29.337440+00:00,16,20,1766180489.337417
16,34913,2025-12-19T21:41:29.337525+00:00,16,20,1766180489.337518
17,34938,2025-12-19T21:41:29.382506+00:00,16,20,1766180489.382488
18,34964,2025-12-19T21:41:29.472364+00:00,16,20,1766180489.472342
19,34989,2025-12-19T21:41:29.472461+00:00,16,20,1766180489.472450
20,35015,2025-12-19T21:41:29.474318+00:00,16,20,1766180489.474296
21,35040,2025-12-19T21:41:29.517478+00:00,16,20,1766180489.517459
22,35066,2025-12-19T21:41:29.562474+00:00,16,20,1766180489.562451
23,35091,2025-12-19T21:41:29.562612+00:00,16,20,1766180489.562604
24,35117,2025-12-19T21:41:29.607445+00:00,16,20,1766180489.607422
25,35142,2025-12-19T21:41:29.607525+00:00,16,20,1766180489.607519
26,35168,2025-12-19T21:41:29.697539+00:00,16,20,1766180489.697513
27,35194,2025-12-19T21:41:29.697627+00:00,16,20,1766180489.697619
28,35219,2025-12-19T21:41:29.699398+00:00,16,20,1766180489.699379
29,35245,2025-12-19T21:41:29.787508+00:00,16,20,1766180489.787484
30,35270,2025-12-19T21:41:29.787597+00:00,16,20,1766180489.787589
31,35296,2025-12-19T21:41:29.789352+00:00,16,20,1766180489.789329
32,35321,2025-12-19T21:41:29.832494+00:00,16,20,1766180489.832471
33,35347,2025-12-19T21:41:29.832595+00:00,16,20,1766180489.832588
34,35373,2025-12-19T21:41:29.877502+00:00,16,20,1766180489.877480
35,35398,2025-12-19T21:41:29.877581+00:00,16,20,1766180489.877574
36,35424,2025-12-19T21:41:29.922467+00:00,16,20,1766180489.922448
37,35449,2025-12-19T21:41:29.922540+00:00,16,20,1766180489.922534
38,35475,2025-12-19T21:41:29.967367+00:00,16,20,1766180489.967350
39,35500,2025-12-19T21:41:29.967448+00:00,16,20,1766180489.967427
