iteration,mode,start_time,notification_time,latency_s,seq,dut_ts
1,start,2025-12-19T22:02:05.633287+00:00,2025-12-19T22:02:05.712515+00:00,0.079184,0,26109
2,start,2025-12-19T22:02:06.816693+00:00,2025-12-19T22:02:06.925296+00:00,0.108567,0,27280
3,start,2025-12-19T22:02:08.029404+00:00,2025-12-19T22:02:08.230517+00:00,0.201084,0,28494
4,start,2025-12-19T22:02:09.334616+00:00,2025-12-19T22:02:09.402422+00:00,0.067777,0,29799
5,start,2025-12-19T22:02:10.506645+00:00,2025-12-19T22:02:10.617539+00:00,0.110865,0,30969
