index,timestamp,rssi_dbm
1,2025-12-19T22:13:46.809740+00:00,-57
2,2025-12-19T22:13:47.889638+00:00,-57
3,2025-12-19T22:13:48.969765+00:00,-59
4,2025-12-19T22:13:50.049788+00:00,-53
5,2025-12-19T22:13:51.129626+00:00,-54
6,2025-12-19T22:13:52.209824+00:00,-55
7,2025-12-19T22:13:53.289577+00:00,-57
8,2025-12-19T22:13:54.369645+00:00,-53
9,2025-12-19T22:13:55.449645+00:00,-57
10,2025-12-19T22:13:56.529578+00:00,-57
11,2025-12-19T22:13:57.610039+00:00,-54
12,2025-12-19T22:13:58.689768+00:00,-53
13,2025-12-19T22:13:59.769614+00:00,-55
14,2025-12-19T22:14:00.849603+00:00,-53
15,2025-12-19T22:14:01.929639+00:00,-53
16,2025-12-19T22:14:03.054645+00:00,-56
17,2025-12-19T22:14:04.134663+00:00,-51
18,2025-12-19T22:14:05.214710+00:00,-60
19,2025-12-19T22:14:06.294678+00:00,-57
20,2025-12-19T22:14:07.374717+00:00,-60
