seq,dut_ts,arrival_time,payload_len,raw_len,arrival_epoch
0,36304,2025-12-19T21:56:48.191444+00:00,56,60,1766181408.191420
1,36329,2025-12-19T21:56:48.236555+00:00,56,60,1766181408.236531
2,36355,2025-12-19T21:56:48.281525+00:00,56,60,1766181408.281504
3,36380,2025-12-19T21:56:48.326348+00:00,56,60,1766181408.326330
4,36406,2025-12-19T21:56:48.326435+00:00,56,60,1766181408.326426
5,36431,2025-12-19T21:56:48.328600+00:00,56,60,1766181408.328582
6,36457,2025-12-19T21:56:48.371566+00:00,56,60,1766181408.371545
7,36483,2025-12-19T21:56:48.371646+00:00,56,60,1766181408.371639
8,36508,2025-12-19T21:56:48.416543+00:00,56,60,1766181408.416523
9,36534,2025-12-19T21:56:48.506566+00:00,56,60,1766181408.506543
10,36560,2025-12-19T21:56:48.506648+00:00,56,60,1766181408.506642
11,36585,2025-12-19T21:56:48.508400+00:00,56,60,1766181408.508380
12,36611,2025-12-19T21:56:48.508483+00:00,56,60,1766181408.508475
13,36637,2025-12-19T21:56:48.551536+00:00,56,60,1766181408.551515
14,36663,2025-12-19T21:56:48.551620+00:00,56,60,1766181408.551613
15,36688,2025-12-19T21:56:48.641572+00:00,56,60,1766181408.641550
16,36714,2025-12-19T21:56:48.641656+00:00,56,60,1766181408.641649
17,36740,2025-12-19T21:56:48.643432+00:00,56,60,1766181408.643413
18,36765,2025-12-19T21:56:48.686473+00:00,56,60,1766181408.686451
19,36791,2025-12-19T21:56:48.686555+00:00,56,60,1766181408.686548
20,36816,2025-12-19T21:56:48.731496+00:00,56,60,1766181408.731475
21,36842,2025-12-19T21:56:48.731578+00:00,56,60,1766181408.731571
22,36868,2025-12-19T21:56:48.776490+00:00,56,60,1766181408.776470
23,36893,2025-12-19T21:56:48.821418+00:00,56,60,1766181408.821399
24,36919,2025-12-19T21:56:48.911451+00:00,56,60,1766181408.911433
25,36944,2025-12-19T21:56:48.911530+00:00,56,60,1766181408.911523
26,36970,2025-12-19T21:56:48.911572+00:00,56,60,1766181408.911565
27,36996,2025-12-19T21:56:48.913461+00:00,56,60,1766181408.913443
28,37021,2025-12-19T21:56:48.916296+00:00,56,60,1766181408.916278
29,37047,2025-12-19T21:56:48.956478+00:00,56,60,1766181408.956460
30,37072,2025-12-19T21:56:49.003500+00:00,56,60,1766181409.003480
31,37098,2025-12-19T21:56:49.003575+00:00,56,60,1766181409.003569
32,37124,2025-12-19T21:56:49.091468+00:00,56,60,1766181409.091448
33,37150,2025-12-19T21:56:49.091577+00:00,56,60,1766181409.091538
34,37175,2025-12-19T21:56:49.093461+00:00,56,60,1766181409.093442
35,37201,2025-12-19T21:56:49.093540+00:00,56,60,1766181409.093534
36,37227,2025-12-19T21:56:49.226495+00:00,56,60,1766181409.226476
37,37252,2025-12-19T21:56:49.226570+00:00,56,60,1766181409.226564
38,37278,2025-12-19T21:56:49.228481+00:00,56,60,1766181409.228462
39,37304,2025-12-19T21:56:49.228553+00:00,56,60,1766181409.228547
40,37330,2025-12-19T21:56:49.230415+00:00,56,60,1766181409.230397
41,37355,2025-12-19T21:56:49.271532+00:00,56,60,1766181409.271512
42,37381,2025-12-19T21:56:49.271625+00:00,56,60,1766181409.271619
43,37407,2025-12-19T21:56:49.316567+00:00,56,60,1766181409.316529
44,37433,2025-12-19T21:56:49.361547+00:00,56,60,1766181409.361527
45,37458,2025-12-19T21:56:49.451579+00:00,56,60,1766181409.451546
46,37484,2025-12-19T21:56:49.451655+00:00,56,60,1766181409.451648
47,37509,2025-12-19T21:56:49.453428+00:00,56,60,1766181409.453409
48,37535,2025-12-19T21:56:49.496529+00:00,56,60,1766181409.496511
49,37561,2025-12-19T21:56:49.496602+00:00,56,60,1766181409.496597
50,37587,2025-12-19T21:56:49.498364+00:00,56,60,1766181409.498345
51,37612,2025-12-19T21:56:49.498440+00:00,56,60,1766181409.498434
52,37638,2025-12-19T21:56:49.541481+00:00,56,60,1766181409.541461
53,37663,2025-12-19T21:56:49.676558+00:00,56,60,1766181409.676536
54,37689,2025-12-19T21:56:49.676632+00:00,56,60,1766181409.676626
55,37715,2025-12-19T21:56:49.678429+00:00,56,60,1766181409.678411
56,37740,2025-12-19T21:56:49.678505+00:00,56,60,1766181409.678499
57,37766,2025-12-19T21:56:49.680422+00:00,56,60,1766181409.680401
58,37792,2025-12-19T21:56:49.680520+00:00,56,60,1766181409.680493
59,37817,2025-12-19T21:56:49.721534+00:00,56,60,1766181409.721515
60,37843,2025-12-19T21:56:49.856409+00:00,56,60,1766181409.856392
61,37869,2025-12-19T21:56:49.856486+00:00,56,60,1766181409.856480
62,37894,2025-12-19T21:56:49.859174+00:00,56,60,1766181409.859156
63,37920,2025-12-19T21:56:49.946362+00:00,56,60,1766181409.946343
64,37946,2025-12-19T21:56:49.946439+00:00,56,60,1766181409.946433
65,37972,2025-12-19T21:56:49.948341+00:00,56,60,1766181409.948322
66,37997,2025-12-19T21:56:49.948418+00:00,56,60,1766181409.948412
67,38023,2025-12-19T21:56:49.950269+00:00,56,60,1766181409.950250
68,38049,2025-12-19T21:56:49.950348+00:00,56,60,1766181409.950341
69,38075,2025-12-19T21:56:50.036487+00:00,56,60,1766181410.036468
70,38100,2025-12-19T21:56:50.036567+00:00,56,60,1766181410.036560
71,38126,2025-12-19T21:56:50.039307+00:00,56,60,1766181410.039288
72,38152,2025-12-19T21:56:50.039388+00:00,56,60,1766181410.039381
73,38177,2025-12-19T21:56:50.081472+00:00,56,60,1766181410.081453
74,38203,2025-12-19T21:56:50.126391+00:00,56,60,1766181410.126372
75,38228,2025-12-19T21:56:50.126469+00:00,56,60,1766181410.126462
76,38254,2025-12-19T21:56:50.171477+00:00,56,60,1766181410.171458
77,38280,2025-12-19T21:56:50.171555+00:00,56,60,1766181410.171549
78,38305,2025-12-19T21:56:50.216400+00:00,56,60,1766181410.216380
79,38331,2025-12-19T21:56:50.216486+00:00,56,60,1766181410.216478
80,38356,2025-12-19T21:56:50.261465+00:00,56,60,1766181410.261447
81,38382,2025-12-19T21:56:50.396479+00:00,56,60,1766181410.396460
82,38408,2025-12-19T21:56:50.396559+00:00,56,60,1766181410.396552
83,38433,2025-12-19T21:56:50.398585+00:00,56,60,1766181410.398565
84,38459,2025-12-19T21:56:50.398689+00:00,56,60,1766181410.398662
85,38484,2025-12-19T21:56:50.398730+00:00,56,60,1766181410.398725
86,38510,2025-12-19T21:56:50.441401+00:00,56,60,1766181410.441383
87,38536,2025-12-19T21:56:50.441470+00:00,56,60,1766181410.441463
88,38561,2025-12-19T21:56:50.486465+00:00,56,60,1766181410.486444
89,38587,2025-12-19T21:56:50.486544+00:00,56,60,1766181410.486538
90,38612,2025-12-19T21:56:50.531520+00:00,56,60,1766181410.531500
91,38638,2025-12-19T21:56:50.576528+00:00,56,60,1766181410.576509
92,38664,2025-12-19T21:56:50.578403+00:00,56,60,1766181410.578384
93,38689,2025-12-19T21:56:50.578479+00:00,56,60,1766181410.578472
94,38715,2025-12-19T21:56:50.666527+00:00,56,60,1766181410.666508
95,38741,2025-12-19T21:56:50.666601+00:00,56,60,1766181410.666595
96,38766,2025-12-19T21:56:50.668407+00:00,56,60,1766181410.668389
