index,timestamp,rssi_dbm
1,2025-12-19T22:02:19.301746+00:00,-57
2,2025-12-19T22:02:20.381645+00:00,-56
3,2025-12-19T22:02:21.461904+00:00,-58
4,2025-12-19T22:02:22.541710+00:00,-58
5,2025-12-19T22:02:23.666587+00:00,-53
6,2025-12-19T22:02:24.747477+00:00,-51
7,2025-12-19T22:02:25.826617+00:00,-53
8,2025-12-19T22:02:26.906719+00:00,-60
9,2025-12-19T22:02:27.986663+00:00,-59
10,2025-12-19T22:02:29.066858+00:00,-58
11,2025-12-19T22:02:30.146695+00:00,-52
12,2025-12-19T22:02:31.316616+00:00,-52
13,2025-12-19T22:02:32.396781+00:00,-50
14,2025-12-19T22:02:33.477110+00:00,-51
15,2025-12-19T22:02:34.556619+00:00,-51
16,2025-12-19T22:02:35.636614+00:00,-60
17,2025-12-19T22:02:36.716669+00:00,-59
18,2025-12-19T22:02:37.841866+00:00,-51
19,2025-12-19T22:02:38.921659+00:00,-56
20,2025-12-19T22:02:40.046776+00:00,-54
