scenario,phy,trial,mode,avg_latency_s,min_latency_s,max_latency_s,samples,timeouts,log_json,log_csv,notes
baseline,auto,1,start,0.06899764539957687,0.06566831599957368,0.07892651299880526,5,0,logs/ble/20251219_082921_ble_latency.json,logs/ble/20251219_082921_ble_latency.csv,Demo
baseline,2m,1,start,0.06832621279972954,0.0652472139991005,0.07959831900006975,5,0,logs/ble/20251219_083202_ble_latency.json,logs/ble/20251219_083202_ble_latency.csv,Demo
