scenario,phy,trial,samples_collected,rssi_available,log_json,log_csv,notes
baseline,auto,1,20,False,logs/ble/20251219_082934_ble_rssi.json,logs/ble/20251219_082934_ble_rssi.csv,Demo
baseline,2m,1,20,False,logs/ble/20251219_083215_ble_rssi.json,logs/ble/20251219_083215_ble_rssi.csv,Demo
