seq,dut_ts,arrival_time,payload_len,raw_len,arrival_epoch
0,27236,2025-12-20T00:14:16.757152+00:00,116,120,1766189656.757126
1,27262,2025-12-20T00:14:16.759907+00:00,116,120,1766189656.759884
2,27288,2025-12-20T00:14:16.804040+00:00,116,120,1766189656.804020
3,27314,2025-12-20T00:14:16.804138+00:00,116,120,1766189656.804131
4,27339,2025-12-20T00:14:16.847079+00:00,116,120,1766189656.847058
5,27365,2025-12-20T00:14:16.849051+00:00,116,120,1766189656.849032
6,27391,2025-12-20T00:14:16.892138+00:00,116,120,1766189656.892119
7,27416,2025-12-20T00:14:16.895235+00:00,116,120,1766189656.895216
8,27442,2025-12-20T00:14:16.937145+00:00,116,120,1766189656.937126
9,27468,2025-12-20T00:14:16.982120+00:00,116,120,1766189656.982101
10,27494,2025-12-20T00:14:16.984033+00:00,116,120,1766189656.984015
11,27520,2025-12-20T00:14:17.027137+00:00,116,120,1766189657.027117
12,27546,2025-12-20T00:14:17.029113+00:00,116,120,1766189657.029093
13,27572,2025-12-20T00:14:17.072130+00:00,116,120,1766189657.072111
14,27597,2025-12-20T00:14:17.074035+00:00,116,120,1766189657.074016
15,27623,2025-12-20T00:14:17.117129+00:00,116,120,1766189657.117110
16,27649,2025-12-20T00:14:17.162128+00:00,116,120,1766189657.162108
17,27675,2025-12-20T00:14:17.164036+00:00,116,120,1766189657.164018
18,27701,2025-12-20T00:14:17.207025+00:00,116,120,1766189657.207006
19,27726,2025-12-20T00:14:17.208934+00:00,116,120,1766189657.208915
20,27752,2025-12-20T00:14:17.252134+00:00,116,120,1766189657.252115
21,27778,2025-12-20T00:14:17.254120+00:00,116,120,1766189657.254101
22,27803,2025-12-20T00:14:17.297035+00:00,116,120,1766189657.297016
23,27829,2025-12-20T00:14:17.342151+00:00,116,120,1766189657.342133
24,27855,2025-12-20T00:14:17.344103+00:00,116,120,1766189657.344084
25,27880,2025-12-20T00:14:17.387136+00:00,116,120,1766189657.387117
26,27906,2025-12-20T00:14:17.389123+00:00,116,120,1766189657.389103
27,27932,2025-12-20T00:14:17.432145+00:00,116,120,1766189657.432125
28,27958,2025-12-20T00:14:17.435123+00:00,116,120,1766189657.435104
29,27983,2025-12-20T00:14:17.477118+00:00,116,120,1766189657.477100
30,28009,2025-12-20T00:14:17.522130+00:00,116,120,1766189657.522111
31,28035,2025-12-20T00:14:17.524028+00:00,116,120,1766189657.524009
32,28061,2025-12-20T00:14:17.569063+00:00,116,120,1766189657.569045
33,28087,2025-12-20T00:14:17.569139+00:00,116,120,1766189657.569133
34,28112,2025-12-20T00:14:17.612167+00:00,116,120,1766189657.612147
35,28138,2025-12-20T00:14:17.614033+00:00,116,120,1766189657.614014
36,28164,2025-12-20T00:14:17.657047+00:00,116,120,1766189657.657027
37,28189,2025-12-20T00:14:17.702136+00:00,116,120,1766189657.702116
38,28215,2025-12-20T00:14:17.704030+00:00,116,120,1766189657.704011
