seq,dut_ts,arrival_time,payload_len,raw_len,arrival_epoch
0,10870,2025-12-20T00:16:11.419146+00:00,176,180,1766189771.419122
1,10896,2025-12-20T00:16:11.464086+00:00,176,180,1766189771.464062
2,10921,2025-12-20T00:16:11.508136+00:00,176,180,1766189771.508114
3,10947,2025-12-20T00:16:11.511048+00:00,176,180,1766189771.511028
4,10973,2025-12-20T00:16:11.553143+00:00,176,180,1766189771.553123
5,10999,2025-12-20T00:16:11.556094+00:00,176,180,1766189771.556074
6,11025,2025-12-20T00:16:11.598137+00:00,176,180,1766189771.598117
7,11050,2025-12-20T00:16:11.601276+00:00,176,180,1766189771.601255
8,11075,2025-12-20T00:16:11.643969+00:00,176,180,1766189771.643952
9,11101,2025-12-20T00:16:11.688126+00:00,176,180,1766189771.688107
10,11126,2025-12-20T00:16:11.691006+00:00,176,180,1766189771.690986
11,11152,2025-12-20T00:16:11.733131+00:00,176,180,1766189771.733109
12,11178,2025-12-20T00:16:11.736006+00:00,176,180,1766189771.735986
13,11204,2025-12-20T00:16:11.778133+00:00,176,180,1766189771.778112
14,11229,2025-12-20T00:16:11.781053+00:00,176,180,1766189771.781033
15,11255,2025-12-20T00:16:11.824121+00:00,176,180,1766189771.824100
16,11280,2025-12-20T00:16:11.868066+00:00,176,180,1766189771.868048
17,11306,2025-12-20T00:16:11.871047+00:00,176,180,1766189771.871027
18,11331,2025-12-20T00:16:11.913134+00:00,176,180,1766189771.913115
19,11358,2025-12-20T00:16:11.958135+00:00,176,180,1766189771.958115
20,11384,2025-12-20T00:16:11.960000+00:00,176,180,1766189771.959980
21,11409,2025-12-20T00:16:12.003069+00:00,176,180,1766189772.003049
22,11435,2025-12-20T00:16:12.005989+00:00,176,180,1766189772.005967
23,11461,2025-12-20T00:16:12.048104+00:00,176,180,1766189772.048085
24,11486,2025-12-20T00:16:12.051125+00:00,176,180,1766189772.051105
25,11512,2025-12-20T00:16:12.093134+00:00,176,180,1766189772.093114
26,11538,2025-12-20T00:16:12.095998+00:00,176,180,1766189772.095977
27,11563,2025-12-20T00:16:12.138131+00:00,176,180,1766189772.138110
28,11589,2025-12-20T00:16:12.140997+00:00,176,180,1766189772.140977
29,11614,2025-12-20T00:16:12.184121+00:00,176,180,1766189772.184101
30,11640,2025-12-20T00:16:12.228160+00:00,176,180,1766189772.228139
31,11666,2025-12-20T00:16:12.231003+00:00,176,180,1766189772.230982
32,11692,2025-12-20T00:16:12.273079+00:00,176,180,1766189772.273059
33,11717,2025-12-20T00:16:12.275994+00:00,176,180,1766189772.275973
34,11743,2025-12-20T00:16:12.318074+00:00,176,180,1766189772.318053
35,11768,2025-12-20T00:16:12.321011+00:00,176,180,1766189772.320991
36,11793,2025-12-20T00:16:12.364108+00:00,176,180,1766189772.364088
37,11819,2025-12-20T00:16:12.408080+00:00,176,180,1766189772.408060
38,11845,2025-12-20T00:16:12.411012+00:00,176,180,1766189772.410991
39,11871,2025-12-20T00:16:12.453094+00:00,176,180,1766189772.453074
40,11897,2025-12-20T00:16:12.456009+00:00,176,180,1766189772.455989
41,11923,2025-12-20T00:16:12.500090+00:00,176,180,1766189772.500070
42,11949,2025-12-20T00:16:12.543090+00:00,176,180,1766189772.543069
