iteration,mode,start_time,notification_time,latency_s,seq,dut_ts
1,start,2025-12-20T00:30:10.367637+00:00,2025-12-20T00:30:10.447156+00:00,0.079487,0,63461
2,start,2025-12-20T00:30:11.551197+00:00,2025-12-20T00:30:11.617159+00:00,0.065935,0,64630
3,start,2025-12-20T00:30:12.721445+00:00,2025-12-20T00:30:12.832145+00:00,0.110671,0,264
4,start,2025-12-20T00:30:13.935792+00:00,2025-12-20T00:30:14.047152+00:00,0.111333,0,1479
5,start,2025-12-20T00:30:15.150967+00:00,2025-12-20T00:30:15.217155+00:00,0.066159,0,2694
