index,timestamp,rssi_dbm
1,2025-12-20T00:07:23.837957+00:00,-51
2,2025-12-20T00:07:25.143144+00:00,-56
3,2025-12-20T00:07:26.314055+00:00,-54
4,2025-12-20T00:07:27.438017+00:00,-56
5,2025-12-20T00:07:28.697993+00:00,-51
6,2025-12-20T00:07:29.957984+00:00,-57
7,2025-12-20T00:07:31.038294+00:00,-53
8,2025-12-20T00:07:32.118222+00:00,-53
9,2025-12-20T00:07:33.512961+00:00,-51
10,2025-12-20T00:07:34.637954+00:00,-52
11,2025-12-20T00:07:35.988130+00:00,-59
12,2025-12-20T00:07:37.067850+00:00,-54
13,2025-12-20T00:07:38.149028+00:00,-59
14,2025-12-20T00:07:39.317951+00:00,-52
15,2025-12-20T00:07:40.398106+00:00,-54
16,2025-12-20T00:07:41.478880+00:00,-58
17,2025-12-20T00:07:42.603073+00:00,-59
18,2025-12-20T00:07:43.683041+00:00,-51
19,2025-12-20T00:07:44.763026+00:00,-55
20,2025-12-20T00:07:45.843974+00:00,-57
