iteration,mode,start_time,notification_time,latency_s,seq,dut_ts
1,start,2025-12-20T00:39:06.994476+00:00,2025-12-20T00:39:07.209160+00:00,0.214653,0,10261
2,start,2025-12-20T00:39:08.312930+00:00,2025-12-20T00:39:08.919155+00:00,0.606197,0,11701
3,start,2025-12-20T00:39:10.023275+00:00,2025-12-20T00:39:10.401157+00:00,0.377853,0,13366
4,start,2025-12-20T00:39:11.505221+00:00,2025-12-20T00:39:11.887108+00:00,0.381860,0,14760
5,start,2025-12-20T00:39:12.991211+00:00,2025-12-20T00:39:13.059003+00:00,0.067766,0,16245
