index,timestamp,rssi_dbm
1,2025-12-20T00:39:23.858072+00:00,-58
2,2025-12-20T00:39:24.983270+00:00,-54
3,2025-12-20T00:39:26.376829+00:00,
4,2025-12-20T00:39:27.377867+00:00,
5,2025-12-20T00:39:28.379187+00:00,
6,2025-12-20T00:39:29.380485+00:00,
7,2025-12-20T00:39:30.381776+00:00,
8,2025-12-20T00:39:31.383070+00:00,
9,2025-12-20T00:39:32.384356+00:00,
10,2025-12-20T00:39:33.385672+00:00,
11,2025-12-20T00:39:34.386966+00:00,
12,2025-12-20T00:39:35.388287+00:00,
13,2025-12-20T00:39:36.389647+00:00,
14,2025-12-20T00:39:37.390979+00:00,
15,2025-12-20T00:39:38.392261+00:00,
16,2025-12-20T00:39:39.393541+00:00,
17,2025-12-20T00:39:40.394869+00:00,
18,2025-12-20T00:39:41.396164+00:00,
19,2025-12-20T00:39:42.397441+00:00,
20,2025-12-20T00:39:43.398734+00:00,
