iteration,mode,start_time,notification_time,latency_s,seq,dut_ts
1,start,2025-12-20T00:18:06.404483+00:00,2025-12-20T00:18:06.485136+00:00,0.080626,0,60399
2,start,2025-12-20T00:18:07.588790+00:00,2025-12-20T00:18:07.655144+00:00,0.066328,0,61568
3,start,2025-12-20T00:18:08.758707+00:00,2025-12-20T00:18:08.826997+00:00,0.068264,0,62738
4,start,2025-12-20T00:18:09.930900+00:00,2025-12-20T00:18:09.995085+00:00,0.064159,0,63909
5,start,2025-12-20T00:18:11.099056+00:00,2025-12-20T00:18:11.165069+00:00,0.065985,0,65079
