index,timestamp,rssi_dbm
1,2025-12-20T00:30:24.306734+00:00,-56
2,2025-12-20T00:30:25.386506+00:00,-56
3,2025-12-20T00:30:26.466135+00:00,-60
4,2025-12-20T00:30:27.546067+00:00,-56
5,2025-12-20T00:30:28.671278+00:00,-58
6,2025-12-20T00:30:29.751446+00:00,-59
7,2025-12-20T00:30:30.830214+00:00,-51
8,2025-12-20T00:30:31.910910+00:00,-59
9,2025-12-20T00:30:32.990950+00:00,-56
10,2025-12-20T00:30:34.071047+00:00,-58
11,2025-12-20T00:30:35.151166+00:00,-52
12,2025-12-20T00:30:36.231162+00:00,-57
13,2025-12-20T00:30:37.310943+00:00,-60
14,2025-12-20T00:30:38.391151+00:00,-52
15,2025-12-20T00:30:39.470944+00:00,-60
16,2025-12-20T00:30:40.550957+00:00,-60
17,2025-12-20T00:30:41.720957+00:00,-59
18,2025-12-20T00:30:42.800967+00:00,-51
19,2025-12-20T00:30:43.880939+00:00,-57
20,2025-12-20T00:30:44.961007+00:00,-59
