iteration,mode,start_time,notification_time,latency_s,seq,dut_ts
1,start,2025-12-19T08:32:07.122951+00:00,2025-12-19T08:32:07.202578+00:00,0.079598,0,55288
2,start,2025-12-19T08:32:08.307265+00:00,2025-12-19T08:32:08.372660+00:00,0.065365,0,56458
3,start,2025-12-19T08:32:09.476960+00:00,2025-12-19T08:32:09.542550+00:00,0.065561,0,57628
4,start,2025-12-19T08:32:10.646757+00:00,2025-12-19T08:32:10.712646+00:00,0.065860,0,58798
5,start,2025-12-19T08:32:11.817227+00:00,2025-12-19T08:32:11.882501+00:00,0.065247,0,59968
