iteration,mode,start_time,notification_time,latency_s,seq,dut_ts
1,start,2025-12-20T04:53:21.567828+00:00,2025-12-20T04:53:21.647048+00:00,0.079184,0,60404
2,start,2025-12-20T04:53:22.750227+00:00,2025-12-20T04:53:22.817013+00:00,0.066752,0,61574
3,start,2025-12-20T04:53:23.920741+00:00,2025-12-20T04:53:23.986931+00:00,0.066157,0,62744
4,start,2025-12-20T04:53:25.090810+00:00,2025-12-20T04:53:25.156979+00:00,0.066133,0,63914
5,start,2025-12-20T04:53:26.260278+00:00,2025-12-20T04:53:26.329034+00:00,0.068720,0,65084
