iteration,mode,start_time,notification_time,latency_s,seq,dut_ts
1,start,2025-12-20T04:44:05.909692+00:00,2025-12-20T04:44:06.034136+00:00,0.124414,0,29044
2,start,2025-12-20T04:44:07.138341+00:00,2025-12-20T04:44:07.249104+00:00,0.110728,0,30259
3,start,2025-12-20T04:44:08.352087+00:00,2025-12-20T04:44:08.419012+00:00,0.066896,0,31474
4,start,2025-12-20T04:44:09.522581+00:00,2025-12-20T04:44:09.590389+00:00,0.067777,0,32644
5,start,2025-12-20T04:44:10.694424+00:00,2025-12-20T04:44:10.760993+00:00,0.066533,0,33814
