seq,dut_ts,arrival_time,payload_len,raw_len,arrival_epoch
0,30909,2025-12-20T04:48:30.001053+00:00,56,60,1766206110.001024
1,30935,2025-12-20T04:48:30.046041+00:00,56,60,1766206110.046009
2,30960,2025-12-20T04:48:30.092032+00:00,56,60,1766206110.092001
3,30986,2025-12-20T04:48:30.092163+00:00,56,60,1766206110.092152
4,31012,2025-12-20T04:48:30.136030+00:00,56,60,1766206110.136004
5,31037,2025-12-20T04:48:30.136121+00:00,56,60,1766206110.136111
6,31063,2025-12-20T04:48:30.180934+00:00,56,60,1766206110.180910
7,31089,2025-12-20T04:48:30.181030+00:00,56,60,1766206110.181022
8,31114,2025-12-20T04:48:30.226042+00:00,56,60,1766206110.226019
9,31140,2025-12-20T04:48:30.270989+00:00,56,60,1766206110.270966
10,31166,2025-12-20T04:48:30.271093+00:00,56,60,1766206110.271082
11,31191,2025-12-20T04:48:30.315952+00:00,56,60,1766206110.315929
12,31217,2025-12-20T04:48:30.316037+00:00,56,60,1766206110.316029
13,31243,2025-12-20T04:48:30.361047+00:00,56,60,1766206110.361021
14,31268,2025-12-20T04:48:30.361153+00:00,56,60,1766206110.361144
15,31294,2025-12-20T04:48:30.406050+00:00,56,60,1766206110.406024
16,31320,2025-12-20T04:48:30.450961+00:00,56,60,1766206110.450936
17,31345,2025-12-20T04:48:30.496101+00:00,56,60,1766206110.496074
18,31371,2025-12-20T04:48:30.496209+00:00,56,60,1766206110.496196
19,31397,2025-12-20T04:48:30.497926+00:00,56,60,1766206110.497908
20,31423,2025-12-20T04:48:30.541013+00:00,56,60,1766206110.540989
21,31448,2025-12-20T04:48:30.541095+00:00,56,60,1766206110.541088
22,31474,2025-12-20T04:48:30.586016+00:00,56,60,1766206110.585989
23,31500,2025-12-20T04:48:30.630940+00:00,56,60,1766206110.630919
24,31525,2025-12-20T04:48:30.631011+00:00,56,60,1766206110.631004
25,31551,2025-12-20T04:48:30.676038+00:00,56,60,1766206110.676012
26,31577,2025-12-20T04:48:30.676141+00:00,56,60,1766206110.676131
27,31602,2025-12-20T04:48:30.811047+00:00,56,60,1766206110.811018
28,31628,2025-12-20T04:48:30.811156+00:00,56,60,1766206110.811144
29,31653,2025-12-20T04:48:30.812988+00:00,56,60,1766206110.812969
30,31679,2025-12-20T04:48:30.856029+00:00,56,60,1766206110.856002
31,31705,2025-12-20T04:48:30.856127+00:00,56,60,1766206110.856118
32,31730,2025-12-20T04:48:30.901062+00:00,56,60,1766206110.901015
33,31756,2025-12-20T04:48:30.901161+00:00,56,60,1766206110.901153
34,31782,2025-12-20T04:48:30.945992+00:00,56,60,1766206110.945968
35,31807,2025-12-20T04:48:30.946088+00:00,56,60,1766206110.946080
36,31833,2025-12-20T04:48:30.990995+00:00,56,60,1766206110.990970
37,31858,2025-12-20T04:48:30.991090+00:00,56,60,1766206110.991082
38,31884,2025-12-20T04:48:31.035983+00:00,56,60,1766206111.035958
39,31910,2025-12-20T04:48:31.036070+00:00,56,60,1766206111.036062
40,31936,2025-12-20T04:48:31.081036+00:00,56,60,1766206111.081010
41,31961,2025-12-20T04:48:31.081128+00:00,56,60,1766206111.081120
42,31987,2025-12-20T04:48:31.126059+00:00,56,60,1766206111.126031
43,32012,2025-12-20T04:48:31.126162+00:00,56,60,1766206111.126154
44,32038,2025-12-20T04:48:31.171030+00:00,56,60,1766206111.171004
45,32064,2025-12-20T04:48:31.171125+00:00,56,60,1766206111.171117
46,32090,2025-12-20T04:48:31.215950+00:00,56,60,1766206111.215929
47,32115,2025-12-20T04:48:31.216033+00:00,56,60,1766206111.216026
48,32141,2025-12-20T04:48:31.261065+00:00,56,60,1766206111.261037
49,32167,2025-12-20T04:48:31.261163+00:00,56,60,1766206111.261154
50,32192,2025-12-20T04:48:31.306483+00:00,56,60,1766206111.306411
51,32218,2025-12-20T04:48:31.350953+00:00,56,60,1766206111.350930
52,32244,2025-12-20T04:48:31.351043+00:00,56,60,1766206111.351035
53,32269,2025-12-20T04:48:31.396037+00:00,56,60,1766206111.396010
54,32295,2025-12-20T04:48:31.396139+00:00,56,60,1766206111.396129
55,32321,2025-12-20T04:48:31.440959+00:00,56,60,1766206111.440936
56,32346,2025-12-20T04:48:31.441049+00:00,56,60,1766206111.441040
57,32372,2025-12-20T04:48:31.486097+00:00,56,60,1766206111.486069
58,32398,2025-12-20T04:48:31.620922+00:00,56,60,1766206111.620898
59,32423,2025-12-20T04:48:31.621010+00:00,56,60,1766206111.621002
60,32449,2025-12-20T04:48:31.623908+00:00,56,60,1766206111.623889
61,32475,2025-12-20T04:48:31.665922+00:00,56,60,1766206111.665896
62,32500,2025-12-20T04:48:31.666017+00:00,56,60,1766206111.666008
63,32526,2025-12-20T04:48:31.710975+00:00,56,60,1766206111.710950
64,32552,2025-12-20T04:48:31.711065+00:00,56,60,1766206111.711057
65,32577,2025-12-20T04:48:31.846015+00:00,56,60,1766206111.845990
66,32603,2025-12-20T04:48:31.846104+00:00,56,60,1766206111.846096
67,32629,2025-12-20T04:48:31.848915+00:00,56,60,1766206111.848896
68,32654,2025-12-20T04:48:31.891015+00:00,56,60,1766206111.890986
69,32680,2025-12-20T04:48:31.891117+00:00,56,60,1766206111.891109
70,32706,2025-12-20T04:48:31.935982+00:00,56,60,1766206111.935955
71,32732,2025-12-20T04:48:31.936080+00:00,56,60,1766206111.936071
72,32757,2025-12-20T04:48:31.980902+00:00,56,60,1766206111.980882
73,32783,2025-12-20T04:48:31.980974+00:00,56,60,1766206111.980967
74,32808,2025-12-20T04:48:32.026030+00:00,56,60,1766206112.026001
75,32834,2025-12-20T04:48:32.026129+00:00,56,60,1766206112.026119
76,32860,2025-12-20T04:48:32.070933+00:00,56,60,1766206112.070910
77,32886,2025-12-20T04:48:32.071023+00:00,56,60,1766206112.071015
78,32911,2025-12-20T04:48:32.115921+00:00,56,60,1766206112.115901
79,32937,2025-12-20T04:48:32.115995+00:00,56,60,1766206112.115988
80,32963,2025-12-20T04:48:32.160982+00:00,56,60,1766206112.160956
81,32988,2025-12-20T04:48:32.161082+00:00,56,60,1766206112.161073
82,33014,2025-12-20T04:48:32.209014+00:00,56,60,1766206112.208990
83,33040,2025-12-20T04:48:32.209130+00:00,56,60,1766206112.209101
84,33066,2025-12-20T04:48:32.250955+00:00,56,60,1766206112.250931
85,33091,2025-12-20T04:48:32.251039+00:00,56,60,1766206112.251032
86,33117,2025-12-20T04:48:32.296022+00:00,56,60,1766206112.295995
87,33143,2025-12-20T04:48:32.341006+00:00,56,60,1766206112.340979
88,33169,2025-12-20T04:48:32.341105+00:00,56,60,1766206112.341097
89,33194,2025-12-20T04:48:32.342887+00:00,56,60,1766206112.342869
90,33220,2025-12-20T04:48:32.566060+00:00,56,60,1766206112.566036
91,33245,2025-12-20T04:48:32.611034+00:00,56,60,1766206112.611008
92,33271,2025-12-20T04:48:32.611130+00:00,56,60,1766206112.611121
93,33297,2025-12-20T04:48:32.612931+00:00,56,60,1766206112.612915
94,33322,2025-12-20T04:48:32.655960+00:00,56,60,1766206112.655936
95,33348,2025-12-20T04:48:32.656048+00:00,56,60,1766206112.656039
96,33374,2025-12-20T04:48:32.700976+00:00,56,60,1766206112.700949
97,33399,2025-12-20T04:48:32.701078+00:00,56,60,1766206112.701069
98,33425,2025-12-20T04:48:32.745984+00:00,56,60,1766206112.745957
99,33450,2025-12-20T04:48:32.746095+00:00,56,60,1766206112.746083
100,33476,2025-12-20T04:48:32.790981+00:00,56,60,1766206112.790955
101,33502,2025-12-20T04:48:32.791080+00:00,56,60,1766206112.791072
102,33527,2025-12-20T04:48:32.835979+00:00,56,60,1766206112.835954
103,33553,2025-12-20T04:48:32.836150+00:00,56,60,1766206112.836138
104,33579,2025-12-20T04:48:32.880903+00:00,56,60,1766206112.880878
105,33604,2025-12-20T04:48:32.880989+00:00,56,60,1766206112.880982
106,33630,2025-12-20T04:48:32.925893+00:00,56,60,1766206112.925872
107,33655,2025-12-20T04:48:32.925968+00:00,56,60,1766206112.925961
108,33681,2025-12-20T04:48:32.970921+00:00,56,60,1766206112.970899
109,33707,2025-12-20T04:48:32.971026+00:00,56,60,1766206112.971000
110,33732,2025-12-20T04:48:33.015962+00:00,56,60,1766206113.015938
111,33758,2025-12-20T04:48:33.016057+00:00,56,60,1766206113.016048
112,33784,2025-12-20T04:48:33.106013+00:00,56,60,1766206113.105986
113,33809,2025-12-20T04:48:33.106108+00:00,56,60,1766206113.106100
114,33835,2025-12-20T04:48:33.107904+00:00,56,60,1766206113.107868
115,33861,2025-12-20T04:48:33.150994+00:00,56,60,1766206113.150970
116,33886,2025-12-20T04:48:33.151083+00:00,56,60,1766206113.151074
117,33912,2025-12-20T04:48:33.195957+00:00,56,60,1766206113.195934
118,33938,2025-12-20T04:48:33.196051+00:00,56,60,1766206113.196043
119,33963,2025-12-20T04:48:33.240999+00:00,56,60,1766206113.240971
120,33989,2025-12-20T04:48:33.241104+00:00,56,60,1766206113.241094
121,34015,2025-12-20T04:48:33.285957+00:00,56,60,1766206113.285933
122,34040,2025-12-20T04:48:33.286044+00:00,56,60,1766206113.286036
123,34066,2025-12-20T04:48:33.330900+00:00,56,60,1766206113.330879
124,34092,2025-12-20T04:48:33.330975+00:00,56,60,1766206113.330968
125,34117,2025-12-20T04:48:33.420983+00:00,56,60,1766206113.420958
126,34143,2025-12-20T04:48:33.511023+00:00,56,60,1766206113.510996
127,34169,2025-12-20T04:48:33.511127+00:00,56,60,1766206113.511116
128,34194,2025-12-20T04:48:33.512895+00:00,56,60,1766206113.512876
129,34220,2025-12-20T04:48:33.555984+00:00,56,60,1766206113.555958
130,34246,2025-12-20T04:48:33.556083+00:00,56,60,1766206113.556075
131,34272,2025-12-20T04:48:33.600975+00:00,56,60,1766206113.600951
132,34297,2025-12-20T04:48:33.601067+00:00,56,60,1766206113.601059
133,34323,2025-12-20T04:48:33.645947+00:00,56,60,1766206113.645926
134,34348,2025-12-20T04:48:33.646045+00:00,56,60,1766206113.646021
135,34374,2025-12-20T04:48:33.690972+00:00,56,60,1766206113.690951
136,34400,2025-12-20T04:48:33.691049+00:00,56,60,1766206113.691043
137,34425,2025-12-20T04:48:33.735909+00:00,56,60,1766206113.735896
138,34451,2025-12-20T04:48:33.735960+00:00,56,60,1766206113.735957
139,34477,2025-12-20T04:48:33.780940+00:00,56,60,1766206113.780923
140,34502,2025-12-20T04:48:33.781004+00:00,56,60,1766206113.780999
141,34528,2025-12-20T04:48:33.870963+00:00,56,60,1766206113.870940
142,34554,2025-12-20T04:48:33.871049+00:00,56,60,1766206113.871042
143,34579,2025-12-20T04:48:33.872882+00:00,56,60,1766206113.872866
144,34605,2025-12-20T04:48:33.915909+00:00,56,60,1766206113.915885
145,34630,2025-12-20T04:48:33.916014+00:00,56,60,1766206113.916004
146,34656,2025-12-20T04:48:33.960961+00:00,56,60,1766206113.960933
147,34682,2025-12-20T04:48:34.005953+00:00,56,60,1766206114.005928
