seq,dut_ts,arrival_time,payload_len,raw_len,arrival_epoch
0,43813,2025-12-20T04:46:31.875994+00:00,16,20,1766205991.875972
1,43839,2025-12-20T04:46:31.919939+00:00,16,20,1766205991.919914
2,43864,2025-12-20T04:46:31.920018+00:00,16,20,1766205991.920010
3,43890,2025-12-20T04:46:31.922893+00:00,16,20,1766205991.922877
4,43915,2025-12-20T04:46:31.964860+00:00,16,20,1766205991.964839
5,43941,2025-12-20T04:46:31.964935+00:00,16,20,1766205991.964928
6,43966,2025-12-20T04:46:32.011009+00:00,16,20,1766205992.010987
7,43992,2025-12-20T04:46:32.011095+00:00,16,20,1766205992.011086
8,44018,2025-12-20T04:46:32.055889+00:00,16,20,1766205992.055865
9,44043,2025-12-20T04:46:32.101016+00:00,16,20,1766205992.100990
10,44069,2025-12-20T04:46:32.190848+00:00,16,20,1766205992.190832
11,44094,2025-12-20T04:46:32.190908+00:00,16,20,1766205992.190902
12,44120,2025-12-20T04:46:32.190931+00:00,16,20,1766205992.190928
13,44146,2025-12-20T04:46:32.236165+00:00,16,20,1766205992.236141
14,44171,2025-12-20T04:46:32.283874+00:00,16,20,1766205992.283845
15,44197,2025-12-20T04:46:32.283991+00:00,16,20,1766205992.283980
16,44223,2025-12-20T04:46:32.284057+00:00,16,20,1766205992.284049
17,44248,2025-12-20T04:46:32.416995+00:00,16,20,1766205992.416971
18,44274,2025-12-20T04:46:32.417080+00:00,16,20,1766205992.417073
19,44300,2025-12-20T04:46:32.417119+00:00,16,20,1766205992.417114
20,44325,2025-12-20T04:46:32.461016+00:00,16,20,1766205992.460989
21,44351,2025-12-20T04:46:32.640901+00:00,16,20,1766205992.640877
22,44376,2025-12-20T04:46:32.640983+00:00,16,20,1766205992.640977
23,44402,2025-12-20T04:46:32.686012+00:00,16,20,1766205992.685983
24,44427,2025-12-20T04:46:32.686102+00:00,16,20,1766205992.686094
25,44453,2025-12-20T04:46:32.686140+00:00,16,20,1766205992.686135
26,44478,2025-12-20T04:46:32.731037+00:00,16,20,1766205992.731013
27,44504,2025-12-20T04:46:32.731115+00:00,16,20,1766205992.731107
28,44529,2025-12-20T04:46:32.775075+00:00,16,20,1766205992.775008
29,44555,2025-12-20T04:46:32.820994+00:00,16,20,1766205992.820972
30,44581,2025-12-20T04:46:32.821072+00:00,16,20,1766205992.821065
31,44606,2025-12-20T04:46:32.821127+00:00,16,20,1766205992.821105
32,44632,2025-12-20T04:46:32.866032+00:00,16,20,1766205992.866007
33,44657,2025-12-20T04:46:32.866131+00:00,16,20,1766205992.866122
34,44683,2025-12-20T04:46:32.909883+00:00,16,20,1766205992.909865
35,44709,2025-12-20T04:46:32.909940+00:00,16,20,1766205992.909935
36,44734,2025-12-20T04:46:32.956008+00:00,16,20,1766205992.955984
37,44760,2025-12-20T04:46:32.956098+00:00,16,20,1766205992.956090
38,44786,2025-12-20T04:46:32.999993+00:00,16,20,1766205992.999966
39,44811,2025-12-20T04:46:33.000092+00:00,16,20,1766205993.000083
40,44837,2025-12-20T04:46:33.046042+00:00,16,20,1766205993.046019
41,44862,2025-12-20T04:46:33.046137+00:00,16,20,1766205993.046129
42,44888,2025-12-20T04:46:33.090971+00:00,16,20,1766205993.090951
43,44914,2025-12-20T04:46:33.091039+00:00,16,20,1766205993.091034
44,44939,2025-12-20T04:46:33.136005+00:00,16,20,1766205993.135981
45,44965,2025-12-20T04:46:33.136112+00:00,16,20,1766205993.136085
46,44991,2025-12-20T04:46:33.180883+00:00,16,20,1766205993.180861
47,45016,2025-12-20T04:46:33.180966+00:00,16,20,1766205993.180959
48,45042,2025-12-20T04:46:33.226007+00:00,16,20,1766205993.225986
49,45068,2025-12-20T04:46:33.226082+00:00,16,20,1766205993.226075
50,45093,2025-12-20T04:46:33.272014+00:00,16,20,1766205993.271993
51,45119,2025-12-20T04:46:33.272092+00:00,16,20,1766205993.272086
52,45144,2025-12-20T04:46:33.317106+00:00,16,20,1766205993.317083
53,45170,2025-12-20T04:46:33.317196+00:00,16,20,1766205993.317188
54,45196,2025-12-20T04:46:33.361029+00:00,16,20,1766205993.361003
55,45221,2025-12-20T04:46:33.361130+00:00,16,20,1766205993.361122
56,45247,2025-12-20T04:46:33.405088+00:00,16,20,1766205993.405063
57,45272,2025-12-20T04:46:33.450988+00:00,16,20,1766205993.450962
58,45297,2025-12-20T04:46:33.451091+00:00,16,20,1766205993.451081
59,45323,2025-12-20T04:46:33.451132+00:00,16,20,1766205993.451127
60,45348,2025-12-20T04:46:33.496327+00:00,16,20,1766205993.496303
61,45374,2025-12-20T04:46:33.540968+00:00,16,20,1766205993.540948
62,45400,2025-12-20T04:46:33.541039+00:00,16,20,1766205993.541034
63,45425,2025-12-20T04:46:33.541071+00:00,16,20,1766205993.541067
64,45451,2025-12-20T04:46:33.585986+00:00,16,20,1766205993.585963
65,45476,2025-12-20T04:46:33.586070+00:00,16,20,1766205993.586063
