seq,dut_ts,arrival_time,payload_len,raw_len,arrival_epoch
0,63798,2025-12-20T04:38:07.516964+00:00,56,60,1766205487.516939
1,63823,2025-12-20T04:38:07.562049+00:00,56,60,1766205487.562020
2,63849,2025-12-20T04:38:07.607032+00:00,56,60,1766205487.607007
3,63874,2025-12-20T04:38:07.607147+00:00,56,60,1766205487.607139
4,63900,2025-12-20T04:38:07.652013+00:00,56,60,1766205487.651990
5,63925,2025-12-20T04:38:07.652089+00:00,56,60,1766205487.652081
6,63951,2025-12-20T04:38:07.696997+00:00,56,60,1766205487.696973
7,63976,2025-12-20T04:38:07.786959+00:00,56,60,1766205487.786938
8,64002,2025-12-20T04:38:07.787036+00:00,56,60,1766205487.787030
9,64028,2025-12-20T04:38:07.789965+00:00,56,60,1766205487.789946
10,64053,2025-12-20T04:38:07.831896+00:00,56,60,1766205487.831877
11,64079,2025-12-20T04:38:07.877032+00:00,56,60,1766205487.877003
12,64105,2025-12-20T04:38:07.877131+00:00,56,60,1766205487.877121
13,64130,2025-12-20T04:38:07.879992+00:00,56,60,1766205487.879971
14,64156,2025-12-20T04:38:07.966952+00:00,56,60,1766205487.966922
15,64182,2025-12-20T04:38:07.967070+00:00,56,60,1766205487.967060
16,64207,2025-12-20T04:38:07.969846+00:00,56,60,1766205487.969839
17,64233,2025-12-20T04:38:08.012073+00:00,56,60,1766205488.012050
18,64259,2025-12-20T04:38:08.012166+00:00,56,60,1766205488.012159
19,64285,2025-12-20T04:38:08.057004+00:00,56,60,1766205488.056982
20,64310,2025-12-20T04:38:08.057089+00:00,56,60,1766205488.057082
21,64336,2025-12-20T04:38:08.147092+00:00,56,60,1766205488.147065
22,64362,2025-12-20T04:38:08.147261+00:00,56,60,1766205488.147250
23,64387,2025-12-20T04:38:08.150067+00:00,56,60,1766205488.150050
24,64413,2025-12-20T04:38:08.237057+00:00,56,60,1766205488.237033
25,64439,2025-12-20T04:38:08.237153+00:00,56,60,1766205488.237145
26,64465,2025-12-20T04:38:08.371931+00:00,56,60,1766205488.371905
27,64490,2025-12-20T04:38:08.416918+00:00,56,60,1766205488.416891
28,64516,2025-12-20T04:38:08.417009+00:00,56,60,1766205488.417001
29,64542,2025-12-20T04:38:08.419881+00:00,56,60,1766205488.419869
30,64567,2025-12-20T04:38:08.462078+00:00,56,60,1766205488.462057
31,64593,2025-12-20T04:38:08.462152+00:00,56,60,1766205488.462146
32,64619,2025-12-20T04:38:08.507090+00:00,56,60,1766205488.507043
33,64645,2025-12-20T04:38:08.507192+00:00,56,60,1766205488.507184
34,64670,2025-12-20T04:38:08.551966+00:00,56,60,1766205488.551947
35,64696,2025-12-20T04:38:08.552037+00:00,56,60,1766205488.552031
36,64722,2025-12-20T04:38:08.597057+00:00,56,60,1766205488.597032
37,64748,2025-12-20T04:38:08.642062+00:00,56,60,1766205488.642035
38,64773,2025-12-20T04:38:08.642153+00:00,56,60,1766205488.642146
39,64799,2025-12-20T04:38:08.644988+00:00,56,60,1766205488.644971
40,64824,2025-12-20T04:38:08.777051+00:00,56,60,1766205488.777024
41,64850,2025-12-20T04:38:08.777165+00:00,56,60,1766205488.777156
42,64875,2025-12-20T04:38:08.822065+00:00,56,60,1766205488.822038
43,64901,2025-12-20T04:38:08.822162+00:00,56,60,1766205488.822154
44,64927,2025-12-20T04:38:08.824962+00:00,56,60,1766205488.824944
45,64952,2025-12-20T04:38:08.866964+00:00,56,60,1766205488.866936
46,64978,2025-12-20T04:38:08.867057+00:00,56,60,1766205488.867049
