index,timestamp,rssi_dbm
1,2025-12-20T04:53:43.965785+00:00,-50
2,2025-12-20T04:53:45.046324+00:00,-50
3,2025-12-20T04:53:46.171009+00:00,-57
4,2025-12-20T04:53:47.386069+00:00,-56
5,2025-12-20T04:53:48.511235+00:00,-50
6,2025-12-20T04:53:49.592430+00:00,-56
7,2025-12-20T04:53:50.671082+00:00,-50
8,2025-12-20T04:53:51.752072+00:00,-52
9,2025-12-20T04:53:52.924078+00:00,-51
10,2025-12-20T04:53:54.091094+00:00,-59
11,2025-12-20T04:53:55.217137+00:00,-58
12,2025-12-20T04:53:56.296133+00:00,-58
13,2025-12-20T04:53:57.600928+00:00,-57
14,2025-12-20T04:53:58.680977+00:00,-59
15,2025-12-20T04:53:59.807190+00:00,-50
16,2025-12-20T04:54:00.977074+00:00,-56
17,2025-12-20T04:54:02.056932+00:00,-55
18,2025-12-20T04:54:03.317120+00:00,-56
19,2025-12-20T04:54:04.396278+00:00,-58
20,2025-12-20T04:54:05.524090+00:00,-57
